forenames,surnames,email,password,treatment
María Guadalupe,Reynoso Garza,mariaguadalupereynosogarza@csef.com,password,false
Ignacio,Magaña Rosas,ignaciomaganarosas@csef.com,password,false
Miroslava,Carrillo Hinojosa,miroslavacarrillohinojosa@csef.com,password,false
Genoveva,Reynoso Garza,genovevareynosogarza@csef.com,password,false
Pablo,González Chávez,pablogonzalezchavez@csef.com,password,false
Pedro,Carrillo Hinojosa,pedrocarrillohinojosa@csef.com,password,false
Sofía,Playán Ruíz,sofiaplayanruiz@csef.com,password,false
Juana,Soto Chávez,juanasotochavez@csef.com,password,false
Juana,Preciado Vaca,juanapreciadovaca@csef.com,password,false
Carlos,Marrufo Ventura,carlosmarrufoventura@csef.com,password,false
Sofía,Pérez Reverte,sofiaperezreverte@csef.com,password,false
Lina,Pérez Reverte,linaperezreverte@csef.com,password,false
Juana,Díaz Ante,juanadiazante@csef.com,password,false
Diana,Michel Sánchez,dianamichelsanchez@csef.com,password,false
Michelle,Reynoso Garza,michellereynosogarza@csef.com,password,false
Genoveva,Playán Ruíz,genovevaplayanruiz@csef.com,password,false
Alfonso,Junquera González,alfonsojunqueragonzalez@csef.com,password,false
Juan Pablo,Ochoa González,juanpabloochoagonzalez@csef.com,password,false
Lina,Amador Fierros,linaamadorfierros@csef.com,password,false
Susana,Reynoso Garza,susanareynosogarza@csef.com,password,false
Miroslava,Rodriguez Vázquez,miroslavarodriguezvazquez@csef.com,password,false
Carla,Ríos Preciado,carlariospreciado@csef.com,password,false
Pedro Alfonso,Ríos Preciado,pedroalfonsoriospreciado@csef.com,password,false
Aranzazú,del Rocío Pérez,aranzazudelrocioperez@csef.com,password,false
Michelle,Llerenas Ortega,michellellerenasortega@csef.com,password,false
Roberto,Preciado Vaca,robertopreciadovaca@csef.com,password,false
Pedro,Ruíz Arias,pedroruizarias@csef.com,password,false
Susana,Ríos Ochoa,susanariosochoa@csef.com,password,false
Tonatiuh,Martínez Amaya,tonatiuhmartinezamaya@csef.com,password,false
Juana,González Chávez,juanagonzalezchavez@csef.com,password,false
Miroslava,Becerra Sánchez,miroslavabecerrasanchez@csef.com,password,false
José María,Torres Fierros,josemariatorresfierros@csef.com,password,false
Juan Pablo,Amador Fierros,juanpabloamadorfierros@csef.com,password,false
Juan Pablo,Venegas Ceballos,juanpablovenegasceballos@csef.com,password,false
Miroslava,Villarreal Luis,miroslavavillarrealluis@csef.com,password,false
Sofía,Villarreal Luis,sofiavillarrealluis@csef.com,password,false
Aranzazú,Ochoa González,aranzazuochoagonzalez@csef.com,password,false
María José,Junquera González,mariajosejunqueragonzalez@csef.com,password,false
Diana,Preciado Vaca,dianapreciadovaca@csef.com,password,false
Sofía,Jimenez Pérez,sofiajimenezperez@csef.com,password,false
César,Ríos Preciado,cesarriospreciado@csef.com,password,true
Aranzazú,Álvarez González,aranzazualvarezgonzalez@csef.com,password,true
Genoveva,Álvarez González,genovevaalvarezgonzalez@csef.com,password,true
María José,del Rocío Pérez,mariajosedelrocioperez@csef.com,password,true
Tonatiuh,Ríos Preciado,tonatiuhriospreciado@csef.com,password,true
César,Ruíz Arias,cesarruizarias@csef.com,password,true
Miroslava,Junquera González,miroslavajunqueragonzalez@csef.com,password,true
Margarita,González Chávez,margaritagonzalezchavez@csef.com,password,true
Juan Pablo,Martínez Amaya,juanpablomartinezamaya@csef.com,password,true
Arturo,Llerenas Ortega,arturollerenasortega@csef.com,password,true
Pedro Alfonso,Carrillo Hinojosa,pedroalfonsocarrillohinojosa@csef.com,password,true
Lina,Venegas Ceballos,linavenegasceballos@csef.com,password,true
Ignacio,Ríos Ochoa,ignacioriosochoa@csef.com,password,true
María José,González Chávez,mariajosegonzalezchavez@csef.com,password,true
Miroslava,González Chávez,miroslavagonzalezchavez@csef.com,password,true
Alfonso,Reynoso Garza,alfonsoreynosogarza@csef.com,password,true
Ana Paula,Ruíz Arias,anapaularuizarias@csef.com,password,true
Pedro,Torres Fierros,pedrotorresfierros@csef.com,password,true
Alfonso,Ruíz Arias,alfonsoruizarias@csef.com,password,true
Adriana,Pérez Reverte,adrianaperezreverte@csef.com,password,true
María José,Magaña Rosas,mariajosemaganarosas@csef.com,password,true
José María,Ruíz Arias,josemariaruizarias@csef.com,password,true
Adriana,Preciado Vaca,adrianapreciadovaca@csef.com,password,true
Michelle,Playán Ruíz,michelleplayanruiz@csef.com,password,true
Pablo,Cárdenas López,pablocardenaslopez@csef.com,password,true
Pedro,Junquera González,pedrojunqueragonzalez@csef.com,password,true
Pedro,Cabrera Ventura,pedrocabreraventura@csef.com,password,true
Pedro,Ochoa González,pedroochoagonzalez@csef.com,password,true
Margarita,Villarreal Luis,margaritavillarrealluis@csef.com,password,true
Roberto,Michel Sánchez,robertomichelsanchez@csef.com,password,true
Ignacio,Torres Fierros,ignaciotorresfierros@csef.com,password,true
María Guadalupe,Junquera González,mariaguadalupejunqueragonzalez@csef.com,password,true
Diana,Álvarez González,dianaalvarezgonzalez@csef.com,password,true
José María,Junquera González,josemariajunqueragonzalez@csef.com,password,true
Lina,Álvarez González,linaalvarezgonzalez@csef.com,password,true
Margarita,Magaña Rosas,margaritamaganarosas@csef.com,password,true
Genoveva,Cárdenas López,genovevacardenaslopez@csef.com,password,true
Roberto,Díaz Ante,robertodiazante@csef.com,password,true
Sofía,Díaz Ante,sofiadiazante@csef.com,password,true
Pedro,Playán Ruíz,pedroplayanruiz@csef.com,password,true
Alfonso,Carrillo Hinojosa,alfonsocarrillohinojosa@csef.com,password,true
Carla,Cárdenas López,carlacardenaslopez@csef.com,password,true
Pedro,Villarreal Luis,pedrovillarrealluis@csef.com,password,true
Diana,González Amador,dianagonzalezamador@csef.com,password,true
René,Llerenas Ortega,renellerenasortega@csef.com,password,true
Lina,Jimenez Pérez,linajimenezperez@csef.com,password,true
César,Ríos Ochoa,cesarriosochoa@csef.com,password,true
Mirna,Díaz Ante,mirnadiazante@csef.com,password,true
Pablo,Carrillo Hinojosa,pablocarrillohinojosa@csef.com,password,true
Pedro Alfonso,Becerra Sánchez,pedroalfonsobecerrasanchez@csef.com,password,false
Arturo,Carrillo Hinojosa,arturocarrillohinojosa@csef.com,password,false
Juan Pablo,Michel Sánchez,juanpablomichelsanchez@csef.com,password,false
María Guadalupe,González Amador,mariaguadalupegonzalezamador@csef.com,password,false
Pedro Alfonso,Ríos Ochoa,pedroalfonsoriosochoa@csef.com,password,false
Juana,Martínez Amaya,juanamartinezamaya@csef.com,password,false
Ana Paula,Torres Fierros,anapaulatorresfierros@csef.com,password,false
Pedro,Jimenez Pérez,pedrojimenezperez@csef.com,password,false
Arturo,del Rocío Pérez,arturodelrocioperez@csef.com,password,false
Michelle,Martínez Amaya,michellemartinezamaya@csef.com,password,false
Miroslava,González Amador,miroslavagonzalezamador@csef.com,password,false
Lina,Cabrera Ventura,linacabreraventura@csef.com,password,false
María José,González Amador,mariajosegonzalezamador@csef.com,password,false
María Guadalupe,González Chávez,mariaguadalupegonzalezchavez@csef.com,password,false
Alfonso,Becerra Sánchez,alfonsobecerrasanchez@csef.com,password,false
Ana Paula,Carrillo Hinojosa,anapaulacarrillohinojosa@csef.com,password,false
Juan Pablo,Jimenez Pérez,juanpablojimenezperez@csef.com,password,false
Roberto,Playán Ruíz,robertoplayanruiz@csef.com,password,false
Pablo,Jimenez Pérez,pablojimenezperez@csef.com,password,false
Susana,Rodriguez Vázquez,susanarodriguezvazquez@csef.com,password,false
Adriana,Martínez Amaya,adrianamartinezamaya@csef.com,password,false
César,Carrillo Hinojosa,cesarcarrillohinojosa@csef.com,password,false
César,Cárdenas López,cesarcardenaslopez@csef.com,password,false
Ana Paula,Álvarez González,anapaulaalvarezgonzalez@csef.com,password,false
Mirna,Pérez Reverte,mirnaperezreverte@csef.com,password,false
Marisol,Ríos Preciado,marisolriospreciado@csef.com,password,false
Roberto,Pérez Reverte,robertoperezreverte@csef.com,password,false
Aranzazú,Becerra Sánchez,aranzazubecerrasanchez@csef.com,password,false
Ignacio,Amador Fierros,ignacioamadorfierros@csef.com,password,false
Tonatiuh,Reynoso Garza,tonatiuhreynosogarza@csef.com,password,false
Roberto,Llerenas Ortega,robertollerenasortega@csef.com,password,false
Pablo,Ochoa González,pabloochoagonzalez@csef.com,password,false
Lina,Llerenas Ortega,linallerenasortega@csef.com,password,false
Aranzazú,Reynoso Garza,aranzazureynosogarza@csef.com,password,false
Adriana,Jimenez Pérez,adrianajimenezperez@csef.com,password,false
Roberto,Álvarez González,robertoalvarezgonzalez@csef.com,password,false
Carlos,del Rocío Pérez,carlosdelrocioperez@csef.com,password,false
Aranzazú,Ríos Ochoa,aranzazuriosochoa@csef.com,password,false
Diana,Llerenas Ortega,dianallerenasortega@csef.com,password,false
Tonatiuh,del Rocío Pérez,tonatiuhdelrocioperez@csef.com,password,false
Tonatiuh,Preciado Vaca,tonatiuhpreciadovaca@csef.com,password,false
Margarita,Ochoa González,margaritaochoagonzalez@csef.com,password,false
César,Michel Sánchez,cesarmichelsanchez@csef.com,password,false
César,Soto Chávez,cesarsotochavez@csef.com,password,false
Lina,Ríos Preciado,linariospreciado@csef.com,password,false
Aranzazú,Michel Sánchez,aranzazumichelsanchez@csef.com,password,false
Miroslava,Díaz Ante,miroslavadiazante@csef.com,password,false
Ana Paula,Preciado Vaca,anapaulapreciadovaca@csef.com,password,false
Ana Paula,Cárdenas López,anapaulacardenaslopez@csef.com,password,false
Susana,Ríos Preciado,susanariospreciado@csef.com,password,false
María José,Álvarez González,mariajosealvarezgonzalez@csef.com,password,false
César,Amador Fierros,cesaramadorfierros@csef.com,password,true
José María,Ochoa González,josemariaochoagonzalez@csef.com,password,true
Juana,Carrillo Hinojosa,juanacarrillohinojosa@csef.com,password,true
Margarita,Preciado Vaca,margaritapreciadovaca@csef.com,password,true
Marisol,Ruíz Arias,marisolruizarias@csef.com,password,true
Adriana,Díaz Ante,adrianadiazante@csef.com,password,true
Roberto,Martínez Amaya,robertomartinezamaya@csef.com,password,true
Michelle,Jimenez Pérez,michellejimenezperez@csef.com,password,true
Margarita,Carrillo Hinojosa,margaritacarrillohinojosa@csef.com,password,true
Marisol,del Rocío Pérez,marisoldelrocioperez@csef.com,password,true
Roberto,González Chávez,robertogonzalezchavez@csef.com,password,true
Genoveva,Torres Fierros,genovevatorresfierros@csef.com,password,true
Margarita,Amador Fierros,margaritaamadorfierros@csef.com,password,true
Miroslava,Venegas Ceballos,miroslavavenegasceballos@csef.com,password,true
Pedro Alfonso,González Chávez,pedroalfonsogonzalezchavez@csef.com,password,true
Susana,Llerenas Ortega,susanallerenasortega@csef.com,password,true
Marisol,Magaña Rosas,marisolmaganarosas@csef.com,password,true
Roberto,González Amador,robertogonzalezamador@csef.com,password,true
César,Martínez Amaya,cesarmartinezamaya@csef.com,password,true
Carla,Jimenez Pérez,carlajimenezperez@csef.com,password,true
Adriana,Llerenas Ortega,adrianallerenasortega@csef.com,password,true
María Guadalupe,Venegas Ceballos,mariaguadalupevenegasceballos@csef.com,password,true
Aranzazú,Ruíz Arias,aranzazuruizarias@csef.com,password,true
